paper_id,Title,pdf_file,Citation count,Publisher,Institution name,Institution UKPRN code,Main panel,Unit of assessment name,Open access status,Year
P004819,A Comprehensive Investigation of the Role of Imbalanced Learning for Software Defect Prediction,P004819.pdf,26.0,Unknown,brunel university london,10000961,B,computer science and informatics,Compliant,2018
P004853,A computational framework for the prioritization of disease-gene candidates,P004853.pdf,9.0,Unknown,university of ulster,10007807,B,computer science and informatics,Out of scope for open access requirements,2015
P004864,A Computational Model of Thalamocortical Dysrhythmia in People with Tinnitus,P004864.pdf,0.0,Unknown,university of ulster,10007807,B,computer science and informatics,Compliant,2018
P004865,A computational model to support in-network data analysis in federated ecosystems,P004865.pdf,7.0,Unknown,cardiff university / prifysgol caerdydd,10007814,B,computer science and informatics,Compliant,2017
P004866,A computational study of astrocytic glutamate influence on post-synaptic neuronal excitability,P004866.pdf,10.0,Unknown,university of ulster,10007807,B,computer science and informatics,Compliant,2018
P004867,A Computational Study of Stimulus Driven Epileptic Seizure Abatement,P004867.pdf,48.0,Unknown,university of newcastle upon tyne,10007799,B,computer science and informatics,Compliant,2014
P004879,A computer‑based simulation of childbirth using the partial Dirichlet–Neumann contact method with total Lagrangian explicit dynamics on the GPU,P004879.pdf,0.0,Unknown,the university of east anglia,10007789,B,computer science and informatics,Compliant,2019
P004896,A concurrency semantics for relaxed atomics that permits optimisation and avoids thin-air executions,P004896.pdf,15.0,Unknown,university of cambridge,10007788,B,computer science and informatics,Out of scope for open access requirements,2016
P004912,A Conflict-Free Replicated JSON Datatype,P004912.pdf,10.0,Unknown,university of cambridge,10007788,B,computer science and informatics,Compliant,2017
P004941,A Console GRID Leveraged Authentication and Key Agreement Mechanism for LTE/SAE,P004941.pdf,8.0,Unknown,manchester metropolitan university,10004180,B,computer science and informatics,Deposit exception,2018
P004952,A constraint-based genetic algorithm for optimizing neural network architectures for detection of loss of coolant accidents of nuclear power plants,P004952.pdf,7.0,Unknown,leeds beckett university,10003861,B,computer science and informatics,Compliant,2018
P004954,A Constructive Approach for Proving Data Structures’ Linearizability,P004954.pdf,1.0,Unknown,the university of surrey,10007160,B,computer science and informatics,Out of scope for open access requirements,2015
P004998,A Convenient Category for Higher-Order Probability Theory,P004998.pdf,6.0,Unknown,university of edinburgh,10007790,B,computer science and informatics,Compliant,2017
P004999,A convenient category for higher-order probability theory,P004999.pdf,0.0,Unknown,university of oxford,10007774,B,computer science and informatics,Compliant,2017
P005011,A cookbook for temporal conceptual data modelling with description logic,P005011.pdf,26.0,The Association for Computing Machinery,birkbeck college,10007760,B,computer science and informatics,Out of scope for open access requirements,2014
P005096,A Critical Analysis of ISO 17825 (‘Testing Methods for the Mitigation of Non-invasive attack classes against cryptographic modules'),P005096.pdf,1.0,Unknown,university of bristol,10007786,B,computer science and informatics,Compliant,2019
P005176,A Cross-Virtual Machine Network Channel Attack via Mirroring and TAP Impersonation,P005176.pdf,1.0,Unknown,university of bristol,10007786,B,computer science and informatics,Exception within 3 months of publication,2018
P005205,A Curry-style Semantics of Interaction : From Untyped to Second-Order Lazy λμ-Calculus,P005205.pdf,0.0,Unknown,the university of bath,10007850,B,computer science and informatics,Compliant,2020
P005252,A data-driven model of tonal chord sequence complexity,P005252.pdf,3.0,Unknown,queen mary university of london,10007775,B,computer science and informatics,Compliant,2017
P005257,A Data-Efficient Deep Learning Approach for Deployable Multimodal Social Robots,P005257.pdf,2.0,Unknown,university of lincoln,10007151,B,computer science and informatics,Compliant,2019
P005310,A Deep Learning Approach to Network Intrusion Detection,P005310.pdf,0.0,Unknown,liverpool john moores university,10003957,B,computer science and informatics,Compliant,2018
P005312,A Deep Learning Framework for Character Motion Synthesis and Editing,P005312.pdf,125.0,Unknown,university of edinburgh,10007790,B,computer science and informatics,Out of scope for open access requirements,2016
